#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.71,30,22.530354
-13.84,30,22.564059
-13.46,30,22.596561
-13.47,30,22.632915
-13.78,30,22.664969
-13.28,30,22.698246
-12.96,30,22.730164
-14.38,30,22.767528
-14.03,30,22.803488
-13.91,30,22.838258
-12.83,30,22.879202
-12.4,30,22.913045
-12.82,30,22.946817
-13.56,30,22.980697
-13.57,30,23.01913
-12.13,30,23.055225
-11.78,30,23.092202
-14.0,30,23.125536
-13.41,30,23.163791
-13.27,30,23.202499
-13.19,30,23.242089
-12.9,30,23.28042
-12.18,30,23.317755
-13.33,30,23.354298
-13.38,30,23.391219
-12.73,30,23.428849
-13.78,30,23.464152
-13.98,30,23.497888
-12.89,30,23.534908
-13.3,30,23.572003
-13.8,30,23.607744
-13.12,30,23.639556
-11.99,30,23.677177
-13.52,30,23.712556
-12.79,30,23.747955
-13.74,30,23.781819
-12.39,30,23.81572
-14.08,30,23.849714
-13.54,30,23.886
-14.8,30,23.918689
-12.08,30,23.952241
-13.75,30,23.989313
-12.51,30,24.02332
-12.84,30,24.059164
-14.78,30,24.093453
-13.59,30,24.127448
-13.03,30,24.162898
-13.98,30,24.196556
-14.7,30,24.232136
-12.46,30,24.268754
-12.5,30,24.301905
-14.02,30,24.334046
-12.73,30,24.366099
-13.97,30,25.957141
-13.7,30,25.992364
-12.89,30,26.027121
-14.05,30,26.067901
-14.1,30,26.103673
-14.46,30,26.13549
-13.01,30,26.171567
-13.65,30,26.207171
-13.63,30,26.238744
-13.75,30,26.276082
-14.78,30,26.318839
-13.55,30,26.361952
-13.21,30,26.401978
-13.02,30,26.435307
-11.78,30,26.467628
-13.52,30,26.495626
-13.4,30,26.526639
-13.55,30,26.557898
-12.41,30,26.584409
-13.82,30,26.613424
-13.09,30,26.645356
-14.43,30,26.679837
-14.16,30,26.711494
-13.01,30,26.743665
-13.76,30,26.776484
-14.25,30,26.812559
-13.31,30,26.84482
-13.43,30,26.877675
-13.08,30,26.910354
-13.07,30,26.942873
-12.86,30,26.975925
-11.88,30,27.009214
-14.32,30,27.040849
-12.92,30,27.07689
-13.36,30,27.112804
-13.77,30,27.148203
-13.5,30,27.18217
-13.05,30,27.216033
-13.87,30,27.253503
-14.16,30,27.285942
-13.8,30,27.319482
-14.05,30,27.355407
-13.09,30,27.393548
-13.88,30,27.431697
-13.81,30,27.463928
-13.44,30,27.497956
-13.79,30,27.53302
-13.86,30,27.566171
-13.87,30,27.59985
-14.66,30,27.633713
-13.4,30,27.666712
-11.91,30,27.702744
-14.1,30,27.741387
-14.75,30,27.776722
-13.43,30,27.812249
-12.94,30,27.845342
-13.16,30,27.8824
-13.23,30,27.919787
-14.17,30,27.957614
-12.4,30,27.989706
-14.49,30,28.024027
-13.32,30,28.05873
-13.36,30,28.099998
-13.97,30,28.133282
-13.07,30,28.168533
-13.51,30,28.206765
-14.14,30,28.244437
-13.92,30,28.277106
-13.61,30,29.873537
-13.91,30,29.907718
-13.45,30,29.943006
-13.85,30,29.979698
-13.0,30,30.013713
-13.99,30,30.047528
-13.75,30,30.080361
-13.08,30,30.112246
-12.23,30,30.149303
-14.03,30,30.185279
-14.15,30,30.219627
-13.78,30,30.255265
-13.28,30,30.289824
-12.65,30,30.323987
-13.99,30,30.362707
-13.85,30,30.397967
-13.14,30,30.431584
-13.71,30,30.467986
-13.7,30,30.502998
-12.62,30,30.541822
-13.86,30,30.579066
-14.41,30,30.610729
-14.54,30,30.645938
-13.5,30,30.679022
-13.71,30,30.710577
-13.36,30,30.745996
-13.44,30,30.782833
-12.59,30,30.822039
-13.42,30,30.859094
-13.61,30,30.900999
-12.19,30,30.939449
-13.18,30,30.976177
-13.64,30,31.010941
-12.21,30,31.04536
-13.35,30,31.084675
-13.31,30,31.12089
-12.92,30,31.156179
-13.06,30,31.193132
-13.12,30,31.230059
-13.27,30,31.270267
-12.22,30,31.30696
-13.64,30,31.342134
-14.16,30,31.381106
-13.34,30,31.418681
-13.61,30,31.456284
-11.99,30,31.493983
-14.15,30,31.528711
-14.39,30,31.564978
-13.76,30,31.600622
-13.85,30,31.639596
-12.38,30,31.684579
-14.1,30,31.723571
-14.21,30,31.764641
-14.67,30,31.805836
-12.41,30,31.839913
-13.94,30,31.872733
-12.79,30,31.907114
-13.61,30,31.942518
-13.3,30,31.97618
-12.86,30,32.013404
-12.93,30,32.050364
-14.41,30,32.084026
-13.49,30,32.117949
-12.84,30,32.150869
-13.52,30,32.185331
-13.02,30,32.221766
-14.15,30,32.259476
-13.02,30,32.298223
-12.76,30,32.338931
-14.04,30,33.976763
-11.85,30,34.011251
-13.75,30,34.047597
-13.58,30,34.083588
-13.8,30,34.120271
-13.78,30,34.15562
-12.87,30,34.188093
-14.07,30,34.224278
-13.22,30,34.256865
-13.18,30,34.289657
-14.3,30,34.322877
-14.83,30,34.358822
-13.73,30,34.390887
-14.1,30,34.426454
-11.85,30,34.4649
-12.78,30,34.502405
-13.87,30,34.540089
-11.09,30,34.573628
-13.49,30,34.60612
-14.11,30,34.639458
-13.84,30,34.670427
-12.59,30,34.704333
-14.15,30,34.737936
-13.33,30,34.769404
-12.78,30,34.807192
-13.98,30,34.842764
-13.89,30,34.878821
-12.13,30,34.914634
-13.66,30,34.947613
-14.73,30,34.98138
-14.05,30,35.015581
-13.07,30,35.046803
-12.89,30,35.082776
-13.13,30,35.117261
-14.21,30,35.151953
-13.58,30,35.186604
-13.11,30,35.223188
-13.74,30,35.256727
-13.84,30,35.289811
-13.1,30,35.322185
-12.21,30,35.357061
-12.81,30,35.392065
-14.92,30,35.42738
-13.26,30,35.462384
-13.11,30,35.495015
-14.42,30,35.529876
-13.86,30,35.561186
-13.82,30,35.596492
-13.75,30,35.628992
-12.4,30,35.665761
-13.09,30,35.706317
